Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
adunit-nestle-maggi-varieties-bouillon-en-kwt-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
753b879a06a0f89feaa3928f37d4c6fe,engagement_instruction.png,_preview.png,103,718,496,816,98,393,900,600
adunit-mouser-user-choice-v2-cpe-av-uk-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-j-and-j-listerine-tonic3-exxon-fs,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
89f522cf0adb2cc171321fb50abc9fc5,engagement_instruction.png,_preview.png,137,86,464,157,71,327,500,600
e37596726bbaf0321aed953b6f8e1be7,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
025bf4faf2102b1376bddee41dc7948e,engagement_animation_2.png,_preview.png,154,146,177,184,38,23,500,600
2561bbefebc84dc200ca14d63b221d55,engagement-layer.png,_preview.png,2,2,604,504,502,602,500,600
24400997671ee80961dfe1ef30072499,engagement_animation.png,_preview.png,269,688,358,807,119,89,900,600
c154ec796ae46371d8bc35744ee47b0e,engagement_instruction.png,_preview.png,41,757,562,855,98,521,900,600
adunit-heineken-pure-malt-v2-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-jaguar-nameplate-refresh-f-type-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
2a25b8b900eeb431fc7627a231bbc562,engagement_instruction.png,_preview.png,205,97,589,167,70,384,500,600
adunit-windhoek-beer-year-end-2021-bio-v2-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v2-cpe-canada-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-livspace-before-after-in-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-flight4-uk-cpe-av-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-van-cleef-and-arpels-frivole-wave-unit2-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7feef5faff5461ca47f061ed5efbccf5,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
adunit-mouser-user-choice-v2-cpe-av-aus-nz-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
fbb156a0dc35c2e9f126d5140ae6ea66,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-jaguar-nameplate-refresh-f-type-back-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
94ed9dbaf0a8f0a64d4e04a3b1d9431a,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
59f430cb4755fb8e77109dcc9c8fb888,engagement_animation.png,_preview.png,198,182,282,249,67,84,500,600
adunit-yamaha-wolverine-user-choice-av-v2-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
783719d2b23ee967711abba9de4e7884,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
39869b76f24193f841d1f95442803be3,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
024df5698f28a46ebf4ac1ac5df2c202,engagement_animation_2.png,_preview.png,143,195,175,244,49,32,900,600
adunit-doritos-niknaks-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-flight4-us-cpe-av-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-western-union-sensory-unit-swipe-up-v2-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-x2-x4-userchoice-cpe-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
74fb31e6b022b403306f12d715053717,engagement_instruction.png,_preview.png,120,285,475,418,133,355,500,600
0792c911c288bd241c1e2a2b64bce488,engagement_animation_1.png,_preview.png,409,433,551,606,173,142,900,600
281ca748ff2f73232baa2a2d98041a63,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3c741855acd9576b4e311d5cd990ae77,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-heineken-pure-malt-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4008b0311b08183a8e6d7d6d01cea464,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
